Home Team ,Away Team,Time,Stadium,Winner,Score,total goals 2.5
ATAKAŞ HATAYSPOR,MEDİPOL BAŞAKŞEHİR FK,20:00,KALYON STADYUMU - GAZİANTEP,Home,2-0,Over
ÇAYKUR RİZESPOR A.Ş.,FENERBAHÇE A.Ş.,20:00,ÇAYKUR DİDİ - RİZE,Away,1-2,Under
DEMİR GRUP SİVASSPOR,ALANYASPOR,17:00,YENİ 4 EYLÜL STADI - SİVAS,Away,0-2,Under
FATİH KARAGÜMRÜK A.Ş.,YENİ MALATYASPOR,17:00,ATATÜRK OLİMPİYAT - İSTANBUL,Home,3-0,Over
FRAPORT-TAV ANTALYASPOR,GENÇLERBİRLİĞİ,20:00,ANTALYA STADYUMU - ANTALYA,Home,2-0,Under
GALATASARAY A.Ş.,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,20:00,ALİ SAMİ YEN SPOR KOMPLEKSİ TÜRK TELEKOM STADYUMU,Home,3-1,Over
GÖZTEPE A.Ş.,YUKATEL DENİZLİSPOR,20:00,GÜRSEL AKSEL STADYUMU - İZMİR,Home,5-1,Over
HES KABLO KAYSERİSPOR,KASIMPAŞA A.Ş.,17:00,BÜYÜKŞEHİR BELEDİYESİ KADİR HAS - KAYSERİ,Away,1-0,Under
MKE ANKARAGÜCÜ,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,17:00,ERYAMAN STADYUMU - ANKARA - ETİMESGUT,Away,1-2,Over
TRABZONSPOR A.Ş.,BEŞİKTAŞ A.Ş.,20:00,ŞENOL GÜNEŞ SPOR KOMPLEKSİ - TRABZON - TRABZON MER,Away,1-3,Over
AYTEMİZ ALANYASPOR,HES KABLO KAYSERİSPOR,19:00,BAHÇEŞEHİR OKULLARI STADYUMU - ANTALYA - ALANYA,Home,2-0,Under
BEŞİKTAŞ A.Ş.,FRAPORT-TAV ANTALYASPOR,19:00,VODAFONE PARK - İSTANBUL - BEŞİKTAŞ,Draw,1-1,Under
BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,DEMİR GRUP SİVASSPOR,13:30,ERZURUM KAZIM KARABEKİR - ERZURUM,Home,1-2,Over
FENERBAHÇE A.Ş.,ATAKAŞ HATAYSPOR,20:00,ÜLKER STADYUMU FB ŞÜKRÜ SARACOĞLU SPOR KOMPLEKSİ -,Away,0-0,Under
GAZİANTEP FUTBOL KULÜBÜ A.Ş.,FATİH KARAGÜMRÜK A.Ş.,19:00,KALYON STADYUMU - GAZİANTEP,Draw,2-2,Over
GENÇLERBİRLİĞİ,İTTİFAK HOLDİNG KONYASPOR,13:30,ERYAMAN STADYUMU - ANKARA - ETİMESGUT,Draw,0-0,Under
KASIMPAŞA A.Ş.,ÇAYKUR RİZESPOR A.Ş.,16:00,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,Home,2-0,Under
MEDİPOL BAŞAKŞEHİR FK,GALATASARAY A.Ş.,19:00,BAŞAKŞEHİR FATİH TERİM - İSTANBUL - BAŞAKŞEHİR,Away,0-2,Under
YENİ MALATYASPOR,GÖZTEPE A.Ş.,20:00,YENİ MALATYA STADYUMU - MALATYA - MALATYA MERKEZ,Draw,1-1,Over
AYTEMİZ ALANYASPOR,HES KABLO KAYSERİSPOR,19:00,BAHÇEŞEHİR OKULLARI STADYUMU - ANTALYA - ALANYA,Home,2-1,Over
ATAKAŞ HATAYSPOR,KASIMPAŞA A.Ş.,16:00,ANTAKYA ATATÜRK STADI - HATAY,Home,1-0,Under
ÇAYKUR RİZESPOR A.Ş.,AYTEMİZ ALANYASPOR,13:30,ÇAYKUR DİDİ - RİZE,Draw,1-1,Over
DEMİR GRUP SİVASSPOR,MKE ANKARAGÜCÜ,16:00,YENİ 4 EYLÜL STADI - SİVAS,Draw,0-0,Under
FATİH KARAGÜMRÜK A.Ş.,MEDİPOL BAŞAKŞEHİR FK,20:00,ATATÜRK OLİMPİYAT - İSTANBUL,Home,2-0,Under
FRAPORT-TAV ANTALYASPOR,YUKATEL DENİZLİSPOR,20:00,ANTALYA STADYUMU - ANTALYA,Home,1-0,Under
