Home Team,Away Team,Time,Stadium,Winner,Score,total goals 2.5
TRABZONSPOR A.Ş.,GALATASARAY A.Ş.,19:00,ŞENOL GÜNEŞ SPOR KOMPLEKSİ - TRABZON - TRABZON MER,Away,0-2,Under
GÖZTEPE A.Ş.,FATİH KARAGÜMRÜK A.Ş.,16:00,GÜRSEL AKSEL STADYUMU - İZMİR,Away,1-1,Under
GAZİANTEP FUTBOL KULÜBÜ A.Ş.,AYTEMİZ ALANYASPOR,13:30,KALYON STADYUMU - GAZİANTEP,Home,3-1,Over
MEDİPOL BAŞAKŞEHİR FK,KASIMPAŞA A.Ş.,19:00,BAŞAKŞEHİR FATİH TERİM - İSTANBUL - BAŞAKŞEHİR,Draw,2-2,Over
YENİ MALATYASPOR,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,16:00,YENİ MALATYA STADYUMU - MALATYA - MALATYA MERKEZ,Away,1-3,Over
YUKATEL DENİZLİSPOR,MKE ANKARAGÜCÜ,16:00,DENİZLİ ATATÜRK STADI - DENİZLİ,Away,1-2,Over
BEŞİKTAŞ A.Ş.,DEMİR GRUP SİVASSPOR,19:00,VODAFONE PARK - İSTANBUL - BEŞİKTAŞ,Home,3-0,Over
GENÇLERBİRLİĞİ,HES KABLO KAYSERİSPOR,16:00,ERYAMAN STADYUMU - ANKARA - ETİMESGUT,Home,3-2,Over
İTTİFAK HOLDİNG KONYASPOR,ÇAYKUR RİZESPOR A.Ş.,16:00,MEDAŞ KONYA BÜYÜKŞEHİR STADYUMU - KONYA,Away,1-1,Under
FRAPORT-TAV ANTALYASPOR,ATAKAŞ HATAYSPOR,19:00,ANTALYA STADYUMU - ANTALYA,Away,0-6,Over
