ulke,boy,kilo,yas,cinsiyet
tr,130,30,10,e
tr,125,36,11,e
tr,135,34,10,k
tr,190,80,25,e
tr,175,90,35,e
tr,177,60,22,k
us,185,105,33,e
us,165,55,27,k
us,162,59,41,k
us,167,62,55,k
fr,174,70,47,e
fr,193,90,23,e
fr,187,80,27,e
fr,183,88,28,e
fr,159,40,29,k
fr,164,66,32,k
fr,166,56,42,k
us,155,50,44,k
us,160,58,39,k
tr,133,30,9,k
tr,129,38,12,e
tr,180,90,30,e
uk,140,28,11,k
us,176,87,24,e
uk,155,52,21,k
tr,176,61,34,e
fr,176,61,34,k
gr,192,74,64,e
tr,164,54,18,k
fr,171,64,32,e
fr,170,56,16,e
gr,164,67,24,k
gr,142,54,13,e
gr,157,51,35,e
uk,194,94,21,e
uk,176,120,27,k
fr,162,71,28,e
us,163,52,46,k
tr,157,65,42,k
fr,134,32,11,e
tr,176,81,19,e
